,BVP_min,BVP_max,BVP_mean,BVP_std,BVP_peak_f,TEMP_min,TEMP_max,TEMP_mean,TEMP_std,labels
76,475.0,569.0,512.1621895590472,19.73714308379239,1.8,30.94,36.09,33.37787633046123,0.6867971796948744,1.0
77,470.0,568.0,511.727825646224,19.594039671675255,1.8,30.94,36.09,33.37119614799797,0.6880178400451913,1.0
78,470.0,568.0,511.7652129817444,19.33800780117196,1.7666666666666666,30.94,36.09,33.37600912778905,0.6836183063338753,1.0
79,470.0,568.0,512.4239350912779,19.491162709715567,1.8,30.94,36.74,33.39561866125761,0.6819371880005646,1.0
80,470.0,568.0,512.5030425963489,19.400933902741375,1.7666666666666666,30.94,36.74,33.40704868154159,0.6802222393746888,1.0
81,470.0,567.0,511.9771805273834,19.354210807039756,1.7666666666666666,30.29,36.74,33.39591784989858,0.6880665190208773,1.0
82,470.0,564.0,511.93309680689305,18.970367208828193,1.7666666666666666,30.29,36.74,33.39223517486062,0.6863349035544923,1.0
83,470.0,564.0,512.1550937658388,18.767156333598408,1.7666666666666666,30.29,36.74,33.39580841358338,0.6855838170293878,1.0
84,470.0,564.0,512.362392295996,18.718853637312115,1.7666666666666666,30.29,36.74,33.397754688291954,0.6848116637750568,1.0
85,470.0,564.0,511.54688291941204,18.639732058752518,1.7333333333333334,30.29,36.74,33.39922959959453,0.6851257376312764,1.0
86,470.0,564.0,511.2002027369488,18.90327037288839,1.7333333333333334,30.29,36.74,33.40054738976178,0.6840389124026973,1.0
